feature_idx,count,frequency,top_tokens
589,0,0.000000,
590,0,0.000000,
591,0,0.000000,
592,0,0.000000,
593,0,0.000000,
594,57,0.000057,"' heart'(43), ' Heart'(9), ' hearts'(5)"
595,0,0.000000,
596,0,0.000000,
597,0,0.000000,
598,0,0.000000,
599,0,0.000000,
600,0,0.000000,
601,0,0.000000,
602,0,0.000000,
603,0,0.000000,
604,65,0.000065,"' F'(17), ' H'(10), ' M'(8), ' W'(6), ' B'(4)"
605,0,0.000000,
606,0,0.000000,
607,0,0.000000,
608,0,0.000000,
609,6314,0.006314,"' km'(250), ' the'(237), ' on'(149), 'way'(117), ' along'(109)"
610,0,0.000000,
611,62,0.000062,"' 23'(5), ' 19'(5), ' 18'(4), ' 10'(3), ' 15'(3)"
612,183,0.000183,"'es'(64), ' S'(32), ' N'(11), ' y'(9), ' 13'(8)"
613,0,0.000000,
614,0,0.000000,
615,0,0.000000,
616,0,0.000000,
617,0,0.000000,
618,0,0.000000,
619,0,0.000000,
620,52,0.000052,"' behaviour'(23), ' behavior'(20), ' Behavior'(3), ' behavioral'(3), 'haviour'(2)"
621,0,0.000000,
622,0,0.000000,
623,2,0.000002,"' extremely'(1), ' thesis'(1)"
624,0,0.000000,
625,0,0.000000,
626,2115,0.002115,"' <'(1846), ' to'(54), ' by'(53), ' ('(35), ' after'(17)"
627,0,0.000000,
628,29,0.000029,"'man'(2), ' Hero'(2), ' Representative'(1), 'ides'(1), ' flooding'(1)"
629,0,0.000000,
630,586,0.000586,"' is'(76), ' ,'(24), ' of'(21), ' with'(20), ' which'(18)"
631,0,0.000000,
632,0,0.000000,
633,0,0.000000,
634,0,0.000000,
635,0,0.000000,
636,0,0.000000,
637,0,0.000000,
638,0,0.000000,
639,0,0.000000,
640,0,0.000000,
641,0,0.000000,
642,0,0.000000,
643,2,0.000002,' †'(2)
644,0,0.000000,
645,0,0.000000,
646,0,0.000000,
647,0,0.000000,
648,0,0.000000,
649,0,0.000000,
650,0,0.000000,
651,0,0.000000,
652,0,0.000000,
653,0,0.000000,
654,7,0.000007,"' it'(1), 'ws'(1), ' She'(1), '>'(1), ' which'(1)"
655,0,0.000000,
656,219,0.000219,"' good'(148), ' Good'(33), ' bad'(24), ' Bad'(8), ' poor'(3)"
657,0,0.000000,
658,0,0.000000,
659,0,0.000000,
